"","PC1","PC2","PC3","PC4","PC5"
"Egr2",0.0168966530338412,-0.113952651525565,0.0880606690476591,0.170852359516291,-0.00681766067855388
"Arpp21",0.00139127993345085,-0.0125532133915518,0.00693757560044346,0.00525788368481276,0.0561700163703901
"Gadd45b",0.0284345588292908,-0.0385361134824274,0.108064217889218,0.0720275370928099,-0.0363505112211326
"Dmkn",-0.00537286756033104,0.0346426763112906,0.027457202678461,0.0257687174482524,0.0407755572377961
"Lsp1",0.00680564544161546,-0.000814106860325781,-0.00690022923480995,-0.00360875141670906,0.00175775432996109
"Mas1",0.0735546484558444,-0.0332389044581425,0.0787766058107325,-0.0722580455103409,-0.0319073458614501
"LOC105246017",-0.00066216481817225,-0.00684501008191468,0.00202931808715151,-0.0115720974907985,0.000536440803097982
"Cplx3",0.0467389107037853,-0.0326440431298719,-0.0369562092724351,0.0122439310233163,0.00893280052203544
"Cox6a2",-0.00161418570261513,0.0100722061126327,0.00287778454637031,0.00848180497410655,0.0178597546636228
"Slc7a3",0.03952541473606,-0.0057252792476515,-0.0101238409450477,0.0482233009147081,0.0741131472257013
"Adcyap1",0.0325400518476877,-0.021031848360437,0.0761220506464626,0.017605925447899,-0.000188142838375508
"Prph",-0.102059858539997,-0.00760675926031426,-0.0746658763886493,0.029621189791306,-0.128699136001295
"Nt5dc2",-0.00338907668964958,0.00246174069410863,0.0120957978448049,0.0013613154336613,-0.00731753121125283
"LOC105246334",-0.0110919880312172,-0.0142660710101131,-0.0163766772971808,-0.00882261313574467,-0.00928051339305874
"Brinp1",0.00170050592687359,0.00221811112162498,0.00506381002501841,0.0229093224779408,0.0093527660049166
"Cpne7",-0.157592821276308,-0.134375929502906,-0.015915230236628,0.0159030565973976,0.109768447549169
"Nxph1",0.0259300910392676,0.0147907992973606,-0.0269054681958238,0.026312118872185,0.00451348668005764
"Pcdhb9",0.00323811888899209,0.0257543042199594,0.00821096758716208,-0.0243290587381207,-0.0133273526151304
"Pak1",-0.0234194404209343,0.030143370575201,-0.00119659893071438,0.00556283835751675,-0.000682688260422825
"LOC105243426",0.00154605536732271,-0.00491767371107955,-0.00288843224615486,-0.0063692548321273,0.0028018535917015
"Anxa4",0.0144447055661981,0.0171706289446099,0.0192235207683085,-0.0207206189094452,-0.0044634568954253
"Dkk3",0.114141476969674,-0.109820680299944,-0.0503998265225054,-0.0420368199619949,-0.0311561867797355
"Dner",0.117168801296331,-0.12888027137839,0.0640054904043966,-0.0932121652617727,0.067799517447217
"Sned1",-0.000458488249472022,0.00235432128638537,0.000759762357797309,-0.0020098602867906,-0.00604873944658595
"Rprm",0.0142557532255757,0.00369366967651594,-0.0316979959669125,0.0229537758939182,0.0126169095647373
"LOC105243187",0.00983176070251968,0.00557015103035297,-0.0123594479843251,0.0186559637901812,0.00542565040362254
"Ahrr",0.00181148039677495,0.00351827842100981,0.00309084928873914,-0.00601138631458665,0.00312481145060867
"Pcdhb12",-0.00437223083767216,-0.0132389448574308,-0.00884300312353839,-0.00128893299846277,0.00896417648237041
"LOC105242844",-3.67505032544061e-05,0.00406336287826264,0.00114030041770697,-0.000358608881783725,-0.00966332379483319
"C1ql2",-0.074252043378994,-0.0439121496320653,0.0937851811890253,-0.0479088774950328,-0.00241449080858135
"Tac2",-0.000735196284319464,0.000675214799510634,-0.00239108876185975,0.00179255586976468,0.00623696911014713
"Snca",0.0184341548723289,-0.0657176859232585,-0.00885811737946272,-0.0159487173855021,0.0272164187329567
"Aplp1",0.0027153025828963,-0.0146414834109442,-0.00927865510972333,0.0191507479500769,0.00875089155303593
"Kcnab3",-0.0702854090636503,0.168601944646444,0.0936301849234426,-0.064076800651985,-0.0203576474857985
"Syt17",0.155467844644096,-0.12447078006302,-0.0928721628496702,-0.023100702791267,0.0134719536060733
"Tnfaip8",-0.0641232163169106,0.00524528462899618,0.0759279036795799,-0.0173025879367341,0.203595879392731
"Anxa1",-0.0246714304996543,0.025556051704621,-0.000158579161242025,0.000496550305743753,0.000546965501790557
"LOC102635469",0.00115520144688881,-0.00243588826756741,-0.00210334567647393,-0.00231044191506166,-0.000635336949907921
"Chn2",0.11143764518024,0.0764367497747908,-0.0986242086140792,0.111950972676629,0.0667084729133582
"Grin3a",-0.0109887822228082,0.0360293087007077,-0.0267213046888622,0.0411609857291547,-0.0314963245018058
"Adamts8",-0.00074043778640366,-0.00579432565769148,0.00534950212364135,-0.00335180164530199,0.0106029584097596
"Ctxn3",0.107149451949854,0.0206512771234423,-0.0278762016629587,-0.0284249470089718,-0.0619565648476662
"Trp53i11",0.0148344361977771,-0.0196393576328029,-0.0482572284699636,0.0216212628222572,0.0184616130062308
"Ap1s2",0.0770722558635696,0.0116158962834245,0.0483836812872579,-0.0692874949908223,-0.0756514821404371
"Ncr3-ps",0.00192817912980514,0.000890327249203062,0.00524465297978645,0.00114795949223454,-0.00147855676175815
"Bhlhe40",-0.0206823120175389,-0.00166675835298937,0.0184072223156443,0.0583420263712605,0.000295976814444896
"Enpp2",0.0113037661065522,-0.0437384480220805,0.056559467045693,-0.0396454322815116,-0.0589413972698678
"5031414D18Rik",-0.00179826022293739,0.00940598096134749,-0.000630641269531777,0.00439305970480965,0.0161017900842369
"Tmem255a",0.0486262711808595,0.0146370165191419,-0.102963750879358,0.0852452013470048,-0.00123438751835733
"Chrm2",0.00986714383584296,0.000817603567059514,0.000669048386435952,-0.000250615247891364,0.0102399019303177
"St6galnac5",0.0746465434351874,-0.106812571763444,-0.127559641253123,0.0908104882502242,-0.0963593675527283
"Resp18",-0.0185532009029673,0.00773594459697707,0.0419799537277316,-0.0567257713873401,-0.0275578282114695
"Hpcal1",0.0821713151858887,0.00197657514533771,-0.0603628814456388,0.103189343998146,-0.0212548712084112
"Dio3",-0.0143877386947119,-0.0764094880591186,-0.0334729920667049,-0.0405427148327279,0.0256209691986715
"Tspan6",0.0618254560796705,-0.0390184975626488,-0.00759640458910049,-0.0101289323072371,0.0435766139609196
"Pdp1",0.0342709267056483,-0.00211788857262842,0.0503755179638047,0.0469853904603828,0.010119611399887
"Olfm3",-0.0245385072130815,0.12518264452207,0.0175229944519259,0.0862497021656046,0.0572764883739303
"Cd274",-0.00135071081577679,-0.00273400479852056,0.000715340603975023,-0.00345337827587848,0.000923508780543066
"Cx3cl1",-0.000987411380786766,0.00193264251976273,0.0191019155159066,0.021861451185614,0.00463330313254418
"Rxfp1",-0.0565954819525575,0.031445900732568,-0.0216310574449286,0.0141085994738949,-0.244359585600827
"Igk",-0.00921622711826022,-0.00170551978575434,-0.00287487615348779,0.000282553784145299,0.0200213995694041
"Medag",-0.0110315992940515,0.0408382615988293,-0.00331290584832089,0.0170098601964796,0.05558379972739
"Slc24a2",0.047290256347269,0.0882848640832926,0.0247401405862943,-0.0130757510258521,5.53506963666873e-05
"Pcp4l1",0.0512897617965422,0.0460075433576378,0.0731177029035052,-0.0637269530207741,-0.0400345937175755
"Fam107b",-0.0176762163083606,-0.0487351214881741,-0.00544210087754162,0.000276622182380263,0.00188954049368177
"LOC105245017",0.0010353926281712,0.00357310371074439,0.00200953741965625,-0.0039410602773481,0.000744459445644501
"Dpy19l1",0.0963379369783492,0.0299263898546157,0.0795239802357902,-0.0641274764458922,0.0438287088608324
"LOC105242681",0.00426688628591708,0.0072671784299504,-0.0154280226909155,-0.00377099917213552,-0.00763548321061143
"Tuba8",-0.0048705574401326,0.00815763091953912,-0.00151179598217334,0.0086192794553469,0.0228438453270806
"Gaa",-0.015467836306426,-0.00674381369562123,0.00929016384910256,0.0168537132186913,0.004886847303428
"Alcam",0.0118123290087743,0.0507647759375622,0.0111993933238351,-0.024965367072339,-0.0522720424727068
"Sh3bp2",0.000172918048345608,0.00198219563717293,0.00137049759884405,0.00796852222951641,0.0100808735979701
"LOC105246020",-0.00408801588476705,0.0105463521440425,-0.0193780197129973,-0.0210607228940789,0.0172811821533892
"Nrsn1",-0.00577803580333155,0.0232687622694588,0.0180318557608804,0.0227627092764419,0.0212532141656647
"Car8",-0.00511579835788851,-0.052310875363509,-0.00936868901233576,-0.0164666469419161,0.0485953703043571
"Lrrc32",-0.00211395108784799,0.00497180378712014,0.00564390171097747,0.0046881580962351,0.016067034041486
"Tgfbr1",-0.0135491349090112,0.0129747217406706,-0.0139608711821706,0.022403089594925,0.0227868541054893
"Pcdhb11",-0.00214493333202173,0.00299280697523823,0.00680484418421076,0.000828923836406289,0.0248203944692236
"Igh",0.000443693889220519,0.00536779977854738,0.00723810432850379,-0.0196635345028793,-0.0276268051206816
"Aim2",-0.000249669786560933,0.0035582857145047,0.00204228329655348,-0.00516346659259456,0.00571691853337939
"Pdlim1",0.016037927447541,-0.0444979772865541,0.155428082175439,-0.0875580605701698,-0.161023436716971
"Cand2",0.00140705325708836,0.00111668249480307,0.00232475300976282,-0.000920547982480502,0.00475761664939085
"Klf10",0.0337616615452884,-0.056619901427905,0.0230151319827169,0.020126362901679,-0.0358961223878866
"Sycp3",-0.0136344802558939,0.0042083416669666,-0.00254948205557161,-0.00456591287070953,-0.00378278533337391
"Ncald",-0.0764403011278906,0.0205035929591525,-0.00264860198265733,0.0360001887325804,-0.0243948519420799
"Sema3c",-0.0894733411354716,0.0303267979399858,-0.0291141387101452,0.033955368984993,-0.214892535757294
"Foxr2",-0.00146817832788851,8.3797846193296e-05,-0.0023087758441385,-0.00429246623811453,-0.000831925779815611
"Scg3",-0.0489641942796507,-0.00128055885341859,0.0438979156395186,-0.0227759123202834,-0.00116591241128848
"Krt80",0.104510954622923,0.0312969351193287,-0.0466790264471201,0.0311332642871052,-0.0394676769863093
"Tcra",-0.00832065038141267,0.0110638219840607,-0.0155826258163688,-0.0294542772122396,0.00582190405101742
"Klk8",0.00643088334115107,-0.000455044753045424,-0.00512174252000311,0.0110020477582933,0.00205790831961297
"Egr3",0.0381545705997462,-0.0297992357859174,0.0563478901138717,0.0824114993187746,0.0110864725866934
"Stat4",-0.0803152841030681,0.0168785117166971,0.0226061806049676,0.0313848978793373,0.00850179193779751
"Rorb",0.0052643999330296,0.0176884412746144,0.00247603467819741,0.00622007312755734,-6.9452026214864e-05
"A930041C12Rik",-0.000996319758680481,0.00335394042135066,0.000730619402285638,0.0040664363807683,0.00748206903507851
"B3galt2",-0.000154737211710261,0.0281002904672561,-0.0236556215768383,0.0103860263818212,-0.0771299478305086
"LOC105244249",0.00635865158153465,0.0133316216037447,-0.0131076791612558,0.00107999009395877,0.00663174813110059
"Dcn",0.000409289233364204,-0.0026337342975972,-0.00268600800576869,3.41176269733467e-06,0.00335410690794429
"Plat",0.00464334311481525,-0.0344572250683444,0.0484268422158518,0.00840046399248615,-0.00313518696593435
"Chgb",0.0313133544810764,-0.00838348753714812,0.00924285727479507,0.0231762370511316,0.0259948815471831
"Ier3",0.0823132484977003,0.0283241681893967,0.0145045656945874,0.0633759357824335,-0.0352989151450785
"Fbxo47",-0.0152379880518558,0.0638449788290402,0.0632565668140844,-0.0374819931858168,0.0221899383659617
"Pea15a",0.0122928278099108,-0.0589936162012658,-0.0378235521622214,0.00771051402192514,0.0447920324446738
"LOC105246774",0.00135709192251401,-0.000117334837211798,-0.00049264863988927,-0.00619688873500792,-0.00078612081917141
"Elk3",0.14294283716594,0.0310430574993023,0.0132331498545402,-0.057971200228002,-0.0263960298305203
"Pcdhb3",-0.0012339355375418,0.00616820670189764,0.00956722703016341,0.00380824645351468,0.003345150455128
