"","PC1","PC2","PC3","PC4","PC5"
"Tmem47",0.0778652139485685,-0.0137800525603489,0.100196692396465,0.00361855143037204,-0.139341908124363
"Zdbf2",0.111875625087547,-0.0521341770395042,-0.0309685028327474,0.00419448951229119,-0.0885840551937287
"Dcdc5",-0.000597800198994983,0.000542395538519298,0.00229583032746493,0.00456135952056501,0.00259195700179386
"Xlr4b",0.000257337327140865,-0.000556998542611664,9.73179736827502e-05,-0.000422280949318676,0.00367524363486264
"LOC105242916",0.00120852096576541,-1.61077717170882e-05,0.00132002861219189,-0.00289632030130823,-0.00476620954101578
"Ly6g6e",0.00188608085977262,-0.0164449760259269,0.0114334974021459,-0.010068259524229,0.0209377875845261
"Gad2",-0.000970950029138607,-0.000930344091190825,-2.36881959261235e-05,0.00174804240028367,-0.00309932801385922
"1110008P14Rik",0.031482641527367,0.083150245400962,-0.0412012142181377,-0.0052536928046564,-0.0356217971565836
"Prkd3",0.00157111080007458,0.000765673822931771,-0.000459271436692081,-0.00149955247018935,-0.00099206990151338
"Ctxn3",0.000893833871788248,-0.0024644927097373,-0.00143757556977096,0.00596832811904913,0.0105080751846343
"Slc40a1",0.00108189486588016,0.00635224302283428,0.000482248638138076,-0.00348228319583651,0.0137543800662395
"LOC102641103",0.000839864219191012,0.000856193366430218,0.00163234760723227,-0.000540804373210855,0.00328812246015656
"Spock3",-0.00307753184302493,-0.0328780411898607,-0.166050998209409,0.0669105748573463,-0.24893790145392
"Nov",-0.0291421734826942,-0.0605838269794335,0.130871618976296,0.0410643875679657,-0.00504490378924531
"Cnga2",-2.2701844433213e-05,0.0018285842891791,-0.000501386919095616,0.000220017833780751,-0.000914516466715233
"Pdgfrb",7.59990462326959e-05,0.0018569167043113,0.00274034872494821,-0.00193113155053488,0.00434070567795359
"Hspa8",0.0196122506649912,-0.0248464939774874,0.0032143722813303,-0.00573443393824209,0.00430607034370623
"Aplp1",0.000837857698139794,-0.015807466134192,0.00767949161099059,0.0365418132880742,-0.00991091809057317
"Srxn1",0.0465644420251548,0.0930442544412152,0.0474590522206786,-0.0106922106550029,-0.00422379193454859
"Car12",0.0390185271936877,0.038487783992773,0.121312993339787,0.00635490885017409,-0.156225359081129
"Lonrf3",0.0191090152192304,-0.00523913367478153,0.00462196378166877,0.0344208995103683,0.0213424721482545
"Klhl13",-0.0103240939352254,-0.0059139465857121,0.0168580550375584,0.0228507437455566,0.00498813479638129
"Kif14",-0.000594108076011253,2.10474423338115e-05,-0.00406988411259742,-0.00220733737483571,-0.000239584539546574
"Gstm6",-0.00191755543110601,-0.00424224092932763,0.00404211507038362,-0.00488603065605452,0.00565176602176766
"Glipr2",0.000959286388888796,-0.00407138912276874,0.0062607573274905,-0.00254587231174732,0.00680214822141883
"Grp",-0.0484580149673095,-0.0749199449635947,0.118777653960622,0.122274932334779,-0.198974616216631
"Syt4",0.00808854474022353,-0.044206750368378,0.0165898332009491,-0.00306732214806478,-0.00972728919443668
"Bhlhe40",-0.0139137900916737,-0.0389582772260292,-0.131792414433823,0.205256586123621,-0.0679681249766903
"C230014O12Rik",-0.00136872152720418,-0.00447080405010298,-0.000622780046433391,0.00420668052757883,0.00438096548385414
