,t_type,met_type,inferred_met_type
906597203,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
823083861,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
883688278,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
907432789,L6 CT VISp Ctxn3 Sla,,L6 CT-1
896619350,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
644592469,L5 IT VISp Batf3,,L5 IT-1
947344218,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
851542876,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
966849374,L6 IT VISp Col23a1 Adamts2,,
681939807,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
902140767,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
646177634,L5 NP VISp Trhr Cpne7,L5 NP,L5 NP
989131618,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
825365347,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
705839974,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
1054139238,L6 IT VISp Car3,,L5/L6 IT Car3
866083691,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
901440363,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
673583983,L5 IT VISp Batf3,,L5 IT-1
895562607,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
837673842,L6 IT VISp Col23a1 Adamts2,L6 IT-2,L6 IT-2
1035989877,L6b VISp Mup5,L6b,L6b
882275192,L6 IT VISp Col18a1,,
910287738,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
698676093,L5 NP VISp Trhr Met,L5 NP,L5 NP
828842878,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
827638657,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
925242241,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
899462020,L5 ET VISp Lgr5,,L5 ET-2
612410245,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
896111494,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
895878023,L5 IT VISp Batf3,,L5 IT-1
903807880,L6 CT VISp Ctxn3 Sla,,L6 CT-1
850969484,L6 CT VISp Nxph2 Wls,,L6 CT-1
948302732,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
904094606,L6 CT VISp Ctxn3 Sla,,L6 CT-1
679183249,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
963019667,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
828879764,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
650331035,L6b VISp Mup5,L6b,L6b
603902877,L5 IT VISp Batf3,L4/L5 IT,L4/L5 IT
681554845,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
970740639,L5 IT VISp Col27a1,,L5 IT-3 Pld5
826848163,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
648315812,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
740410280,L6 IT VISp Penk Fst,L6 IT-3,L6 IT-3
990557098,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
863404974,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
994042809,L2/3 IT VISp Agmat,,L2/3 IT
992412609,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
853713858,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
829305793,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
644920260,L6 IT VISp Col18a1,,
1038767044,L6 CT VISp Krt80 Sla,,L6 CT-2
828879817,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
956134345,L4 IT VISp Rspo1,,L4 IT
898962389,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
965542873,L6 IT VISp Col18a1,,L6 IT-2
904659932,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
901395424,L5 IT VISp Batf3,,L5 IT-1
935203809,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
716784611,L4 IT VISp Rspo1,,L4 IT
826909667,L5 ET VISp Lgr5,,L5 ET-3
829305835,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
898671597,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
948126701,L4 IT VISp Rspo1,L4 IT,L4 IT
972563450,L5 ET VISp Krt80,,L5 ET-3
908649467,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
953996283,L4 IT VISp Rspo1,,L4 IT
990213121,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
882770947,L6 IT VISp Penk Col27a1,,
989393925,L6b VISp Mup5,,L6b
973501446,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
1000625161,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
698700813,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
910287886,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
926770192,L5 ET VISp Lgr5,,L5 ET-2
693269523,L2/3 IT VISp Agmat,,L2/3 IT
941552661,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
973472798,L5 ET VISp Krt80,,L5 ET-3
963322913,L6 IT VISp Penk Col27a1,,
645444644,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
638813221,L4 IT VISp Rspo1,,L4 IT
906552358,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
937706533,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
880772136,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
1010996263,L6b VISp Col8a1 Rxfp1,,L6b
991953962,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
1034908713,L6b VISp Col8a1 Rxfp1,,L6b
990331949,L6 IT VISp Col18a1,,L6 IT-2
907191349,L6 IT VISp Col18a1,,
903951413,L6 CT VISp Ctxn3 Sla,,L6 CT-1
956126263,L4 IT VISp Rspo1,,L4 IT
849679419,L4 IT VISp Rspo1,,L4 IT
648115263,L6 IT VISp Col18a1,,
1000125506,L6 IT VISp Car3,,L5/L6 IT Car3
645444689,L5 ET VISp Krt80,,L5 ET-2
652960852,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
989385812,L5 ET VISp Krt80,,L5 ET-3
740373591,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
680969310,L4 IT VISp Rspo1,,L4 IT
